UP,Down,contronler,hard
0,0,contronler_182,hard_1
0,0,contronler_182,hard_1
0,0,contronler_183,hard_1
0,0,contronler_184,hard_1
0,0,contronler_185,hard_1
0,0,contronler_186,hard_1
0,0,contronler_187,hard_1
0,0,contronler_188,hard_1
0,0,contronler_189,hard_1
0,0,contronler_190,hard_1
0,0,contronler_191,hard_1
0,0,contronler_192,hard_1
0,0,contronler_193,hard_1
0,0,contronler_194,hard_1
0,0,contronler_195,hard_1
0,0,contronler_196,hard_1
0,0,contronler_197,hard_1
0,0,contronler_198,hard_1
0,0,contronler_199,hard_1
0,0,contronler_200,hard_1
0,0,contronler_201,hard_1
0,0,contronler_202,hard_1
0,0,contronler_203,hard_1
0,0,contronler_204,hard_1
0,0,contronler_204,hard_1
0,0,contronler_205,hard_1
0,0,contronler_206,hard_1
0,0,contronler_207,hard_1
0,0,contronler_208,hard_1
0,0,contronler_209,hard_1
0,0,contronler_210,hard_1
0,0,contronler_211,hard_1
0,0,contronler_211,hard_1
0,0,contronler_212,hard_1
0,0,contronler_213,hard_1
0,0,contronler_214,hard_1
0,0,contronler_215,hard_1
0,0,contronler_216,hard_1
0,0,contronler_217,hard_1
0,0,contronler_217,hard_1
0,0,contronler_218,hard_1
0,0,contronler_218,hard_1
0,0,contronler_218,hard_1
0,0,contronler_219,hard_1
0,0,contronler_220,hard_1
0,0,contronler_221,hard_1
0,0,contronler_222,hard_1
0,0,contronler_223,hard_1
0,0,contronler_224,hard_1
0,0,contronler_224,hard_1
0,0,contronler_225,hard_1
0,0,contronler_226,hard_1
0,0,contronler_227,hard_1
0,0,contronler_228,hard_1
0,0,contronler_228,hard_1
0,0,contronler_229,hard_1
0,0,contronler_230,hard_1
0,0,contronler_231,hard_1
0,0,contronler_232,hard_1
0,0,contronler_233,hard_1
0,0,contronler_234,hard_1
0,0,contronler_235,hard_1
0,0,contronler_236,hard_1
0,0,contronler_237,hard_1
0,0,contronler_238,hard_1
0,0,contronler_239,hard_1
0,0,contronler_240,hard_1
0,0,contronler_241,hard_1
0,0,contronler_242,hard_1
0,0,contronler_243,hard_1
0,0,contronler_244,hard_1
0,0,contronler_245,hard_1
0,0,contronler_246,hard_1
0,0,contronler_247,hard_1
0,0,contronler_248,hard_1
0,0,contronler_249,hard_1
0,0,contronler_250,hard_1
0,0,contronler_251,hard_1
0,0,contronler_252,hard_1
0,0,contronler_253,hard_1
